immat;depart;arrivee;tour de piste
F-HEJB;2023-01-09 08:14;2023-01-09 09:14;1
F-GABJ;2023-01-09 08:30;2023-01-09 09:30;
F-GCUA;2023-01-09 08:45;2023-01-09 09:45;1
F-GBUR;2023-01-09 09:00;2023-01-09 10:00;1
F-HEJB;2023-01-09 14:14;2023-01-09 15:15;1
F-GABJ;2023-01-09 14:30;2023-01-09 15:30;1
F-GCUA;2023-01-09 14:45;2023-01-09 18:45;
F-GBUR;2023-01-09 15:00;2023-01-09 17:30;
F-HEJB;2023-01-10 09:15;2023-01-10 10:15;1
F-GABJ;2023-01-10 09:30;2023-01-10 10:30;
F-GCUA;2023-01-10 09:45;2023-01-10 10:45;
F-GBUR;2023-01-10 08:00;2023-01-10 09:00;1
F-HEJB;2023-01-10 16:15;2023-01-10 17:15;1
F-GABJ;2023-01-10 16:30;2023-01-10 17:30;1
F-GCUA;2023-01-10 16:45;2023-01-10 18:45;
F-GBUR;2023-01-10 17:00;2023-01-10 17:45;
F-HEJB;2023-01-11 09:00;2023-01-11 10:00;1
F-GABJ;2023-01-11 14:15;2023-01-11 15:15;1
F-GCUA;2023-01-11 14:30;2023-01-11 15:30;1
F-GBUR;2023-01-11 14:45;2023-01-11 17:45;
F-HEJB;2023-01-11 16:15;2023-01-11 18:00;
F-GABJ;2023-01-11 16:30;2023-01-11 17:00;1
F-GCUA;2023-01-11 16:45;2023-01-11 18:45;
F-GBUR;2023-01-11 17:00;2023-01-11 18:00;1
F-HEJB;2023-01-12 08:15;2023-01-12 09:15;1
F-GABJ;2023-01-12 08:30;2023-01-12 09:30;
F-GCUA;2023-01-12 08:45;2023-01-12 09:45;1
F-GBUR;2023-01-12 09:00;2023-01-12 10:00;1
F-HEJB;2023-01-10 14:14;2023-01-10 15:14;1
F-GABJ;2023-01-12 14:30;2023-01-12 16:30;
F-GCUA;2023-01-12 18:45;2023-01-13 10:45;
F-GBUR;2023-01-12 17:00;2023-01-12 19:30;
F-HEJB;2023-01-13 08:14;2023-01-13 09:14;1
F-GABJ;2023-01-13 08:30;2023-01-13 09:30;
F-GCUA;2023-01-13 08:45;2023-01-13 09:45;1
F-GBUR;2023-01-13 09:00;2023-01-13 10:00;1
F-HEJB;2023-01-13 14:14;2023-01-13 17:15;
F-GABJ;2023-01-13 14:30;2023-01-13 15:30;1
F-GCUA;2023-01-13 14:45;2023-01-13 17:45;
F-GBUR;2023-01-13 14:00;2023-01-13 16:30;
F-HEJB;2023-01-14 08:14;2023-01-14 09:14;1
F-GABJ;2023-01-14 08:30;2023-01-14 09:30;1
F-GCUA;2023-01-14 08:45;2023-01-14 09:45;
F-GBUR;2023-01-14 09:00;2023-01-14 14:00;
F-HEJB;2023-01-10 14:14;2023-01-10 15:14;1
F-GABJ;2023-01-14 14:30;2023-01-14 15:30;1
F-GCUA;2023-01-14 16:45;2023-01-14 18:45;
F-GBUR;2023-01-14 17:00;2023-01-15 09:30;
F-HEJB;2023-01-15 14:14;2023-01-15 15:15;
F-GABJ;2023-01-15 14:30;2023-01-15 15:30;1
F-GCUA;2023-01-15 14:45;2023-01-15 17:45;
F-GBUR;2023-01-15 16:14;2023-01-15 17:14;1
F-HEJB;2023-01-15 16:30;2023-01-15 18:30;
F-GABJ;2023-01-15 18:45;2023-01-16 09:15;
F-GCUA;2023-01-15 17:00;2023-01-15 18:30;
