immat;depart;arrivee;tour de piste
F-GNJA;2023-01-09 10:15;2023-01-09 11:15;1
F-GGXY;2023-01-09 10:30;2023-01-09 11:30;
F-JBZE;2023-01-09 10:45;2023-01-09 11:45;1
F-GNJA;2023-01-09 14:15;2023-01-09 15:15;1
F-GGXY;2023-01-09 14:30;2023-01-09 15:30;1
F-JBZE;2023-01-09 14:45;2023-01-09 17:45;
F-GNJA;2023-01-10 09:15;2023-01-10 10:15;1
F-GGXY;2023-01-10 09:30;2023-01-10 12:30;
F-JBZE;2023-01-10 09:45;2023-01-10 12:45;
F-GNJA;2023-01-10 16:15;2023-01-10 17:15;1
F-GGXY;2023-01-10 16:30;2023-01-10 17:30;1
F-JBZE;2023-01-10 16:45;2023-01-10 18:45;
F-GNJA;2023-01-11 11:00;2023-01-11 12:00;1
F-GGXY;2023-01-11 14:15;2023-01-11 15:15;1
F-JBZE;2023-01-11 14:30;2023-01-11 15:30;1
F-GNJA;2023-01-11 16:15;2023-01-11 18:00;
F-GGXY;2023-01-11 16:30;2023-01-11 16:30;
F-JBZE;2023-01-11 16:45;2023-01-11 18:45;
F-GNJA;2023-01-12 08:15;2023-01-12 09:15;1
F-GGXY;2023-01-12 08:30;2023-01-12 09:30;
F-JBZE;2023-01-12 08:45;2023-01-12 10:45;1
F-GNJA;2023-01-10 14:15;2023-01-10 15:15;1
F-GGXY;2023-01-12 14:30;2023-01-12 15:30;1
F-JBZE;2023-01-12 18:45;2023-01-13 08:45;
F-GNJA;2023-01-13 10:15;2023-01-13 11:15;1
F-GGXY;2023-01-13 10:30;2023-01-13 11:30;
F-JBZE;2023-01-13 10:45;2023-01-13 11:45;1
F-GNJA;2023-01-13 14:15;2023-01-13 15:15;1
F-GGXY;2023-01-13 14:30;2023-01-13 15:30;1
F-JBZE;2023-01-13 14:45;2023-01-13 17:45;
F-GNJA;2023-01-14 08:15;2023-01-14 09:15;1
F-GGXY;2023-01-14 08:30;2023-01-14 09:30;1
F-JBZE;2023-01-14 08:45;2023-01-14 10:45;
F-GNJA;2023-01-10 14:15;2023-01-10 15:15;1
F-GGXY;2023-01-14 14:30;2023-01-14 15:30;1
F-JBZE;2023-01-14 16:45;2023-01-14 18:45;
F-GNJA;2023-01-15 14:15;2023-01-15 15:15;
F-GGXY;2023-01-15 14:30;2023-01-15 15:30;1
F-JBZE;2023-01-15 14:45;2023-01-15 17:45;
F-GNJA;2023-01-15 16:30;2023-01-15 18:30;
F-GGXY;2023-01-15 18:45;2023-01-16 08:15;
F-JBZE;2023-01-15 17:00;2023-01-15 18:30;
